id,texto
corpus_00001,"Cara, vi a notícia e n aguento mais esses venecos chegando aqui! O país tá um caos pq a gnt n tem estrutura pra essa INVASÃO! 😤 #ForaVenecos #BrasilPrimeiro"
corpus_00002,"Mano, mais uma notícia de venezuelano envolvido em crime... Coincidência? Acho q n! TEM Q MANDAR ESSES CARAS DE VOLTA! 😡 #SegurancaJa #ChegaDeImigracao"
corpus_00003,"Galera, vcs viram o tanto de ""veneco"" nas ruas pedindo? N aguento mais! Onde tá o dinheiro q o governo gasta com eles? 🤬 #VergonhaBrasil #MeuPais"
corpus_00004,"Nossa, q absurdo essa notícia! Mais e mais venezuelanos vindo pra cá e NINGUÉM FAZ NADA! Nossa saúde e educação já estão no limite, pô! 💀 #BrasilEmPerigo #ChegaDeInvasores"
corpus_00005,"Realmente, a situação tá crítica! Esse povo ""veneco"" só vem pra cá pra sugar nossos recursos e causar problema. ACORDA, BRASIL! 🔥 #FronteirasFechadas #NaoQueremos"
corpus_00006,"Cara, essa notícia sobre imigração me fez pensar. A gente tem q discutir políticas migratórias mais humanas e eficientes, né? 🤔 #ImigracaoBrasil #DireitosHumanos"
corpus_00007,"Nossa, q legal ver a diversidade cultural q a imigração traz! Cada história, cada cultura nova q enriquece o país. 🌍✨ #DiversidadeCultural #Brasil"
corpus_00008,"Realmente, o governo precisa de um plano de longo prazo pra imigração. N adianta só reagir a crise, precisamos de estrutura e integração de verdade! 📊 #PoliticasPublicas #Imigracao"
corpus_00009,"Mano, essa falta de planejamento do governo na questão migratória é absurda! Como q espera q a sociedade lide com isso sem apoio e políticas claras? 😤 #GestaoPublica #FaltaDePlanejamento"
corpus_00010,"Galera, a imigração pode ser uma força pra economia, se a gente souber aproveitar! Precisamos debater as oportunidades e desafios sem preconceito. 🤔💡 #EconomiaBrasil #Desenvolvimento"
corpus_00011,"Cara, vi o vídeo e dá um ódio! Tem q dar um jeito nesses gringos, mandar embora logo! 😡 #BrasilPrimeiro"
corpus_00012,"Mano, pq o governo n faz nada com esses ""imigrantes"" q só invadem nosso país? A gente n tem culpa! 🤬 #ForaEstrangeiros"
corpus_00013,"Galera, vi o vídeo e fiquei pensando... pra q tantos estrangeiros aqui? Nossa saúde, educação... já tá tudo ""lotado"" pro nosso povo! 😤 #NaoEhDaqui"
corpus_00014,"Esse vídeo só me dá raiva! Tem q expulsar essa galera q n é daqui, mano. Nosso país n é bagunça! 💀 #ExpulsaJa"
